INFO:root:{'droneId': 1, 'serialNumber': 'asdasd', 'battery': 24, 'date': '2023-06-07 21:36:03.768783'}
INFO:root:{'droneId': 2, 'serialNumber': 'asdasd', 'battery': 23, 'date': '2023-06-07 21:36:03.769822'}
INFO:root:{'droneId': 3, 'serialNumber': 'asdasd', 'battery': 25, 'date': '2023-06-07 21:36:03.770778'}
INFO:django.utils.autoreload:C:\Users\Camilo\Desktop\Python\musalaTest\musalaTest\Api\helper.py changed, reloading.
INFO:root:{'droneId': 1, 'serialNumber': 'asdasd', 'battery': 24, 'date': '2023-06-07 21:42:35.804436'}
INFO:root:{'droneId': 2, 'serialNumber': 'asdasd', 'battery': 23, 'date': '2023-06-07 21:42:35.805433'}
INFO:root:{'droneId': 3, 'serialNumber': 'asdasd', 'battery': 25, 'date': '2023-06-07 21:42:35.805433'}
INFO:root:{'droneId': 1, 'serialNumber': 'asdasd', 'battery': 24, 'date': '2023-06-07 21:42:38.814364'}
INFO:root:{'droneId': 2, 'serialNumber': 'asdasd', 'battery': 23, 'date': '2023-06-07 21:42:38.814364'}
INFO:root:{'droneId': 3, 'serialNumber': 'asdasd', 'battery': 25, 'date': '2023-06-07 21:42:38.815332'}
INFO:root:{'droneId': 1, 'serialNumber': 'asdasd', 'battery': 24, 'date': '2023-06-07 21:42:41.822611'}
INFO:root:{'droneId': 2, 'serialNumber': 'asdasd', 'battery': 23, 'date': '2023-06-07 21:42:41.823606'}
INFO:root:{'droneId': 3, 'serialNumber': 'asdasd', 'battery': 25, 'date': '2023-06-07 21:42:41.823606'}
INFO:root:{'droneId': 1, 'serialNumber': 'asdasd', 'battery': 24, 'date': '2023-06-07 21:42:44.825587'}
INFO:root:{'droneId': 2, 'serialNumber': 'asdasd', 'battery': 23, 'date': '2023-06-07 21:42:44.826579'}
INFO:root:{'droneId': 3, 'serialNumber': 'asdasd', 'battery': 25, 'date': '2023-06-07 21:42:44.826579'}
INFO:root:{'droneId': 1, 'serialNumber': 'asdasd', 'battery': 24, 'date': '2023-06-07 21:42:47.836612'}
INFO:root:{'droneId': 2, 'serialNumber': 'asdasd', 'battery': 23, 'date': '2023-06-07 21:42:47.836612'}
INFO:root:{'droneId': 3, 'serialNumber': 'asdasd', 'battery': 25, 'date': '2023-06-07 21:42:47.836612'}
INFO:root:{'droneId': 1, 'serialNumber': 'asdasd', 'battery': 24, 'date': '2023-06-07 21:42:50.850359'}
INFO:root:{'droneId': 2, 'serialNumber': 'asdasd', 'battery': 23, 'date': '2023-06-07 21:42:50.850359'}
INFO:root:{'droneId': 3, 'serialNumber': 'asdasd', 'battery': 25, 'date': '2023-06-07 21:42:50.850359'}
INFO:root:{'droneId': 1, 'serialNumber': 'asdasd', 'battery': 24, 'date': '2023-06-07 21:42:53.860174'}
INFO:root:{'droneId': 2, 'serialNumber': 'asdasd', 'battery': 23, 'date': '2023-06-07 21:42:53.860174'}
INFO:root:{'droneId': 3, 'serialNumber': 'asdasd', 'battery': 25, 'date': '2023-06-07 21:42:53.860174'}
INFO:root:{'droneId': 1, 'serialNumber': 'asdasd', 'battery': 24, 'date': '2023-06-07 21:42:56.871338'}
INFO:root:{'droneId': 2, 'serialNumber': 'asdasd', 'battery': 23, 'date': '2023-06-07 21:42:56.871338'}
INFO:root:{'droneId': 3, 'serialNumber': 'asdasd', 'battery': 25, 'date': '2023-06-07 21:42:56.871338'}
INFO:root:{'droneId': 1, 'serialNumber': 'asdasd', 'battery': 24, 'date': '2023-06-07 21:42:59.875214'}
INFO:root:{'droneId': 2, 'serialNumber': 'asdasd', 'battery': 23, 'date': '2023-06-07 21:42:59.875214'}
INFO:root:{'droneId': 3, 'serialNumber': 'asdasd', 'battery': 25, 'date': '2023-06-07 21:42:59.875214'}
